Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
5/8/2020,MS,0,1,1,1,1,1,1,1
6/3/2020,AL,1,0,0,1,0,1,1,1
5/19/2020,RI,1,1,1,1,1,1,0,1
10/28/2020,MN,0,0,0,0,0,0,1,0
12/23/2020,NJ,0,0,0,0,0,0,1,1
3/3/2021,IL,0,1,0,1,1,1,1,0
6/7/2020,SC,0,0,0,1,0,0,1,1
2/16/2020,ME,0,0,0,0,0,0,0,0
3/15/2020,NJ,0,0,0,0,0,0,0,0
12/10/2020,NE,0,0,1,0,0,0,1,0
2/6/2021,AL,0,0,0,0,0,0,1,1
8/25/2020,OR,0,0,0,1,0,0,1,1
9/12/2020,MD,0,0,0,1,0,0,1,1
5/13/2020,ND,0,1,1,1,1,0,1,1
2/10/2020,NE,0,0,0,0,0,0,0,0
9/17/2020,MD,0,0,0,0,0,0,1,1
4/27/2020,KY,1,1,1,1,1,0,1,0
1/14/2021,IN,0,0,0,0,0,0,1,0
1/21/2021,CT,0,0,0,0,1,0,1,1
2/15/2020,AL,0,0,0,0,0,0,0,0
10/5/2020,IL,0,0,0,0,0,0,1,0
2/25/2020,ME,0,0,0,0,0,0,0,0
2/11/2020,MS,0,0,0,0,0,0,0,0
5/11/2020,MI,1,1,1,1,1,1,1,1
2/3/2020,AL,0,0,0,0,0,0,0,0
1/14/2021,MD,0,0,0,0,0,0,1,1
12/26/2020,AL,0,0,0,0,0,0,1,1
2/28/2021,MT,0,0,0,0,0,0,1,1
8/22/2020,DE,0,0,0,0,0,0,1,0
11/23/2020,LA,0,0,0,0,1,0,1,1
9/24/2020,RI,0,0,0,0,0,0,0,1
5/28/2020,ID,0,1,1,1,1,0,1,0
1/23/2020,VT,0,0,0,0,0,0,0,0
3/1/2020,NV,0,0,0,0,0,0,0,0
2/2/2020,MI,0,0,0,0,0,0,0,0
10/28/2020,AZ,0,0,1,1,1,0,1,0
1/16/2021,LA,0,0,0,0,1,0,1,1
3/14/2020,SC,0,0,0,0,0,0,0,0
11/30/2020,CA,0,1,1,1,1,0,1,0
11/28/2020,NH,0,0,0,0,0,0,1,1
3/30/2020,ME,0,0,0,0,0,0,0,0
7/22/2020,AZ,0,0,1,1,1,0,1,0
7/19/2020,AZ,0,0,1,1,1,0,1,0
11/28/2020,IL,0,0,0,0,0,0,1,0
12/18/2020,MN,0,1,1,1,1,0,1,0
3/4/2021,ND,0,0,0,0,0,0,1,1
10/18/2020,WI,0,0,0,0,0,0,1,0
4/24/2020,OR,1,1,1,1,1,0,1,1
2/7/2020,MO,0,0,0,0,0,0,0,0
7/6/2020,NV,0,0,0,0,0,0,1,0
2/22/2021,WY,0,0,0,0,0,0,1,0
6/21/2020,ID,0,0,0,0,0,0,1,0
9/14/2020,MN,0,0,0,0,0,0,1,0
7/12/2020,OR,0,0,0,1,0,0,1,1
10/27/2020,WI,0,0,0,0,0,0,1,0
2/7/2021,NC,0,0,0,1,1,0,1,1
9/19/2020,ME,0,0,0,0,0,0,1,0
8/31/2020,VA,0,0,0,0,0,0,1,0
3/27/2020,VT,0,0,0,0,0,0,0,1
11/28/2020,MS,0,0,0,0,0,0,1,1
4/13/2020,WY,1,1,1,1,1,0,1,0
3/16/2020,MT,0,0,0,0,0,0,0,0
1/8/2021,NH,0,0,0,0,0,0,1,1
3/27/2020,MO,0,0,0,0,0,0,0,0
2/12/2020,MI,0,0,0,0,0,0,0,0
2/23/2020,VA,0,0,0,0,0,0,0,0
11/19/2020,KY,0,0,0,0,0,0,1,0
1/20/2021,AL,0,0,0,0,0,0,1,1
2/4/2020,MI,0,0,0,0,0,0,0,0
12/19/2020,CA,0,1,1,1,1,0,1,0
8/10/2020,NV,0,0,0,0,0,0,1,0
8/13/2020,NH,0,0,0,0,0,0,1,1
10/8/2020,NV,0,0,0,0,0,0,1,0
8/29/2020,WA,0,0,1,1,0,0,1,1
2/4/2020,ME,0,0,0,0,0,0,0,0
10/17/2020,ND,0,0,0,0,0,0,1,1
9/7/2020,MI,0,0,1,1,1,0,1,1
5/30/2020,KY,1,1,1,1,1,0,1,0
8/11/2020,SC,0,0,0,1,0,0,1,1
12/7/2020,SC,0,0,0,0,0,0,1,1
2/13/2020,MI,0,0,0,0,0,0,0,0
10/21/2020,NJ,0,0,0,0,0,0,1,1
7/16/2020,MO,0,0,0,1,0,0,1,1
10/15/2020,MO,0,0,0,1,0,0,1,1
4/2/2020,MN,0,1,1,1,1,0,1,0
7/24/2020,IN,0,0,0,0,0,0,1,0
